FIPS,YPLL
21087,8796
21085,11886
21083,9211
21081,11768
21079,9618
21077,13620
21075,12226
21073,10072
21071,14452
21069,10775
21067,7529
21065,14465
21063,11600
21061,8582
21059,8501
21057,9517
21055,10623
21053,9211
21051,13420
21049,10640
21047,10558
21045,12002
21043,10942
21041,12597
21039,10566
21037,8892
21035,7246
21033,9762
21031,11567
21029,7926
21027,9772
21025,15948
21023,12200
21021,9738
21019,10873
21017,9869
21015,6677
21013,13367
21011,12221
21009,8467
21007,8964
21005,10588
21003,10941
21001,10222
21000,9718
20209,9626
20207,
20205,9456
20203,
20201,
20199,
20197,6813
20195,
20193,6867
20191,7789
20189,6660
20187,
20185,9844
20183,
20181,9138
20179,
20177,8839
20175,6441
20173,8102
20171,
20169,8134
20167,9038
20165,
20163,7016
20161,4804
20159,8035
20157,9052
20155,7271
20153,
20151,9003
20149,4795
20147,
20145,8763
20143,8923
20141,
20139,8502
20137,9266
20135,
20133,7862
20131,6655
20129,
20127,
20125,10350
20123,5459
20121,7054
20119,11905
20117,7960
20115,6758
20113,6695
20111,6523
20109,
20107,9649
20105,
20103,6177
20101,
20099,9143
20097,
20095,16901
20093,
20091,4252
20089,
20087,7102
20085,8608
20083,
20081,
20079,7751
20077,11146
20075,
20073,11624
20071,
20069,6177
20067,6334
20065,
20063,
20061,9563
20059,6879
20057,6085
20055,6147
20053,6436
20051,6861
20049,
20047,
20045,5371
20043,5483
20041,7133
20039,
20037,7848
20035,9636
20033,
20031,6424
20029,8286
20027,7610
20025,
20023,
20021,9887
20019,13156
20017,
20015,7385
20013,9985
20011,8591
20009,7475
20007,
20005,8403
20003,9205
